#SSD VISUALIZATION MODE TRACE: 2 PLANES X 32 BLOCKS X 32 PAGES
#Output from DiskSim execution of ReusableSSD
#Input is a Zipf workload with alpha=1, accessing 1200 logical pages.
#Resources
# DiskSim and SSD extension: 
#  http://www.pdl.cmu.edu/DiskSim/
# Zipf workload generator in C:
#  http://www.csee.usf.edu/~christen/tools/genzipf.c
# ReusableSSD paper: 
#  https://www.usenix.org/conference/fast15/technical-sessions/presentation/yadgar
S <0,0> Active1 
W 1 721 <1,11,8> 
W 1 722 <1,11,9> 
W 1 723 <1,11,10> 
W 1 724 <1,11,11> 
W 1 725 <1,11,12> 
W 1 726 <1,11,13> 
W 1 727 <1,11,14> 
W 1 728 <1,11,15> 
W 1 729 <1,11,16> 
W 1 730 <1,11,17> 
W 1 731 <1,11,18> 
W 1 732 <1,11,19> 
W 1 733 <1,11,20> 
W 1 734 <1,11,21> 
W 1 735 <1,11,22> 
W 1 736 <1,11,23> 
W 1 737 <1,11,24> 
W 1 738 <1,11,25> 
W 1 739 <1,11,26> 
W 1 740 <1,11,27> 
W 1 741 <1,11,28> 
W 1 742 <1,11,29> 
W 1 743 <1,11,30> 
S <1,11> Used 
S <0,12> Active1 
W 1 744 <0,12,0> 
W 1 745 <0,12,1> 
W 1 746 <0,12,2> 
W 1 747 <0,12,3> 
W 1 748 <0,12,4> 
W 1 749 <0,12,5> 
W 1 750 <0,12,6> 
W 1 751 <0,12,7> 
W 1 752 <0,12,8> 
W 1 753 <0,12,9> 
W 1 754 <0,12,10> 
W 1 755 <0,12,11> 
W 1 756 <0,12,12> 
W 1 757 <0,12,13> 
W 1 758 <0,12,14> 
W 1 759 <0,12,15> 
W 1 760 <0,12,16> 
W 1 761 <0,12,17> 
W 1 762 <0,12,18> 
W 1 763 <0,12,19> 
W 1 764 <0,12,20> 
W 1 765 <0,12,21> 
W 1 766 <0,12,22> 
W 1 767 <0,12,23> 
W 1 768 <0,12,24> 
W 1 769 <0,12,25> 
W 1 770 <0,12,26> 
W 1 771 <0,12,27> 
W 1 772 <0,12,28> 
W 1 773 <0,12,29> 
W 1 774 <0,12,30> 
S <0,12> Used 
S <1,12> Active1 
W 1 775 <1,12,0> 
W 1 776 <1,12,1> 
W 1 777 <1,12,2> 
W 1 778 <1,12,3> 
W 1 779 <1,12,4> 
W 1 780 <1,12,5> 
W 1 781 <1,12,6> 
W 1 782 <1,12,7> 
W 1 783 <1,12,8> 
W 1 784 <1,12,9> 
W 1 785 <1,12,10> 
W 1 786 <1,12,11> 
W 1 787 <1,12,12> 
W 1 788 <1,12,13> 
W 1 789 <1,12,14> 
W 1 790 <1,12,15> 
W 1 791 <1,12,16> 
W 1 792 <1,12,17> 
W 1 793 <1,12,18> 
W 1 794 <1,12,19> 
W 1 795 <1,12,20> 
W 1 796 <1,12,21> 
W 1 797 <1,12,22> 
W 1 798 <1,12,23> 
W 1 799 <1,12,24> 
W 1 800 <1,12,25> 
W 1 801 <1,12,26> 
W 1 802 <1,12,27> 
W 1 803 <1,12,28> 
W 1 804 <1,12,29> 
W 1 805 <1,12,30> 
S <1,12> Used 
S <0,13> Active1 
W 1 806 <0,13,0> 
W 1 807 <0,13,1> 
W 1 808 <0,13,2> 
W 1 809 <0,13,3> 
W 1 810 <0,13,4> 
W 1 811 <0,13,5> 
W 1 812 <0,13,6> 
W 1 813 <0,13,7> 
W 1 814 <0,13,8> 
W 1 815 <0,13,9> 
